Sample description: primus/qt temporary file
Sample: primus/qt tempo  c= 0.24 mg/ml  Code: tmp
Parent(s): /Users/ellen/Documents/Statherin/SAXS/Grenoble_sep-17/Analysis/Series3/Other/avrg_001.dat
  3.850120e-02  -1.578930e+01   1.479050e+01
  4.319890e-02   6.877440e+00   9.176210e+00
  4.789670e-02   6.115480e+00   5.739940e+00
  5.259440e-02   1.575970e+00   4.831990e+00
  5.729210e-02   4.746420e+00   3.775790e+00
  6.198980e-02   8.465810e+00   3.106420e+00
  6.668750e-02   4.110750e+00   2.717820e+00
  7.138520e-02   3.895190e+00   2.386590e+00
  7.608290e-02   6.728940e+00   2.018780e+00
  8.078070e-02   6.738900e+00   1.784210e+00
  8.547840e-02   2.905500e+00   1.674010e+00
  9.017610e-02   5.191810e+00   1.495790e+00
  9.487380e-02   5.113550e+00   1.333840e+00
  9.957150e-02   6.098540e+00   1.239370e+00
  1.042690e-01   5.845580e+00   1.134630e+00
  1.089670e-01   6.865160e+00   1.118800e+00
  1.136650e-01   5.192320e+00   1.009620e+00
  1.183620e-01   5.197560e+00   9.384880e-01
  1.230600e-01   3.413000e+00   8.921080e-01
  1.277580e-01   4.363720e+00   8.975170e-01
  1.324560e-01   4.538740e+00   8.411400e-01
  1.371530e-01   5.003010e+00   7.827890e-01
  1.418510e-01   5.840600e+00   7.525760e-01
  1.465490e-01   4.779070e+00   7.480270e-01
  1.512460e-01   5.653610e+00   7.253630e-01
  1.559440e-01   5.505760e+00   6.844460e-01
  1.606420e-01   5.074680e+00   6.595780e-01
  1.653400e-01   5.355020e+00   6.507160e-01
  1.700370e-01   5.891230e+00   6.599980e-01
  1.747350e-01   5.417980e+00   6.151410e-01
  1.794330e-01   5.060910e+00   5.976330e-01
  1.841300e-01   5.349230e+00   5.977310e-01
  1.888280e-01   5.152520e+00   6.012290e-01
  1.935260e-01   5.163830e+00   5.727930e-01
  1.982230e-01   4.985730e+00   5.454390e-01
  2.029210e-01   5.680160e+00   5.474970e-01
  2.076190e-01   4.592260e+00   5.528010e-01
  2.123170e-01   4.024820e+00   5.391510e-01
  2.170140e-01   4.925860e+00   5.036230e-01
  2.217120e-01   5.274280e+00   5.213050e-01
  2.264100e-01   5.874410e+00   5.118080e-01
  2.311070e-01   4.641770e+00   5.173480e-01
  2.358050e-01   3.988980e+00   4.793660e-01
  2.405030e-01   5.064890e+00   4.892070e-01
  2.452010e-01   4.802210e+00   4.827990e-01
  2.498980e-01   5.134030e+00   4.934690e-01
  2.545960e-01   5.658010e+00   4.563130e-01
  2.592940e-01   4.972980e+00   4.571940e-01
  2.639910e-01   4.617090e+00   4.662760e-01
  2.686890e-01   4.619760e+00   4.657860e-01
  2.733870e-01   5.072280e+00   4.383080e-01
  2.780850e-01   3.929860e+00   4.406870e-01
  2.827820e-01   4.379270e+00   4.420660e-01
  2.874800e-01   4.647240e+00   4.449750e-01
  2.921780e-01   4.416030e+00   4.394980e-01
  2.968760e-01   4.236320e+00   4.133070e-01
  3.015730e-01   4.304430e+00   4.253790e-01
  3.062710e-01   4.160980e+00   4.222870e-01
  3.109690e-01   5.145180e+00   4.279080e-01
  3.156660e-01   4.666360e+00   3.992370e-01
  3.203640e-01   5.273770e+00   4.123820e-01
  3.250620e-01   5.020810e+00   4.019820e-01
  3.297590e-01   4.980520e+00   4.155440e-01
  3.344570e-01   4.551770e+00   3.920710e-01
  3.391550e-01   4.768270e+00   3.943570e-01
  3.438530e-01   5.191510e+00   4.025030e-01
  3.485500e-01   4.431800e+00   4.030300e-01
  3.532480e-01   4.499000e+00   4.049940e-01
  3.579460e-01   4.741610e+00   4.151770e-01
  3.626440e-01   4.940400e+00   4.299380e-01
  3.673410e-01   4.901880e+00   4.260580e-01
  3.720390e-01   4.638550e+00   4.333630e-01
  3.767370e-01   5.165740e+00   4.284710e-01
  3.814340e-01   4.236790e+00   4.399970e-01
  3.861320e-01   5.232050e+00   4.433970e-01
  3.908300e-01   4.482330e+00   4.435980e-01
  3.955270e-01   4.036830e+00   4.646040e-01
  4.002250e-01   4.576010e+00   4.660640e-01
  4.049230e-01   4.680250e+00   4.800660e-01
  4.096210e-01   4.642890e+00   4.876140e-01
  4.143180e-01   4.319200e+00   4.957260e-01
  4.190160e-01   4.090020e+00   5.060350e-01
  4.237140e-01   3.629610e+00   5.089030e-01
  4.284120e-01   4.313890e+00   5.338250e-01
  4.331090e-01   5.100860e+00   5.297870e-01
  4.378070e-01   3.761440e+00   5.360530e-01
  4.425050e-01   3.381350e+00   5.519330e-01
  4.472020e-01   3.433510e+00   5.563570e-01
  4.519000e-01   3.812680e+00   5.658470e-01
  4.565980e-01   3.951860e+00   5.496760e-01
  4.612960e-01   2.865740e+00   5.221460e-01
  4.659930e-01   4.817470e+00   5.270610e-01
  4.706910e-01   4.222250e+00   5.321010e-01
  4.753890e-01   2.969550e+00   5.032580e-01
  4.800860e-01   4.534020e+00   4.994530e-01
  4.847840e-01   3.293760e+00   5.063610e-01
  4.894820e-01   3.774400e+00   5.155360e-01
  4.941790e-01   3.846960e+00   4.891240e-01
  4.988770e-01   4.166850e+00   4.916400e-01
  5.035750e-01   4.031240e+00   4.988510e-01
  5.082730e-01   4.492880e+00   5.019290e-01
  5.129700e-01   4.351120e+00   4.812840e-01
  5.176680e-01   3.873900e+00   4.795870e-01
  5.223660e-01   4.712530e+00   4.824840e-01
  5.270640e-01   3.587240e+00   4.965490e-01
  5.317610e-01   3.397150e+00   4.709870e-01
  5.364590e-01   4.269070e+00   4.713010e-01
  5.411570e-01   3.545640e+00   4.661150e-01
  5.458540e-01   4.068030e+00   4.796530e-01
  5.505520e-01   3.532130e+00   4.715800e-01
  5.552500e-01   3.875010e+00   4.534700e-01
  5.599480e-01   3.400810e+00   4.594810e-01
  5.646450e-01   4.145550e+00   4.654990e-01
  5.693430e-01   2.935980e+00   4.573900e-01
  5.740410e-01   3.505650e+00   4.404860e-01
  5.787380e-01   3.657810e+00   4.538610e-01
  5.834360e-01   4.317640e+00   4.518760e-01
  5.881340e-01   3.504340e+00   4.529510e-01
